No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
23-19,Through The Echoes,Paolo Nutini,2022,NOW 112 – Disc 1,https://open.spotify.com/search/Through%20The%20Echoes%20Paolo%20Nutini,https://www.youtube.com/results?search_query=Through%20The%20Echoes%20Paolo%20Nutini%20music%20video
23-20,My Love (Edit),Florence + The Machine,2022,NOW 112 – Disc 1,https://open.spotify.com/search/My%20Love%20(Edit)%20Florence%20+%20The%20Machine,https://www.youtube.com/results?search_query=My%20Love%20(Edit)%20Florence%20+%20The%20Machine%20music%20video
23-21,Like A Prayer (Live),Miley Cyrus,2022,NOW 112 – Disc 1,https://open.spotify.com/search/Like%20A%20Prayer%20(Live)%20Miley%20Cyrus,https://www.youtube.com/results?search_query=Like%20A%20Prayer%20(Live)%20Miley%20Cyrus%20music%20video
23-22,Bad Life,Sigrid & Bring Me The Horizon,2022,NOW 112 – Disc 1,https://open.spotify.com/search/Bad%20Life%20Sigrid%20&%20Bring%20Me%20The%20Horizon,https://www.youtube.com/results?search_query=Bad%20Life%20Sigrid%20&%20Bring%20Me%20The%20Horizon%20music%20video
23-23,Supermodel,Måneskin,2022,NOW 112 – Disc 1,https://open.spotify.com/search/Supermodel%20Måneskin,https://www.youtube.com/results?search_query=Supermodel%20Måneskin%20music%20video
23-24,Stefania (Kalush Orchestra),KALUSH,2022,NOW 112 – Disc 1,https://open.spotify.com/search/Stefania%20(Kalush%20Orchestra)%20KALUSH,https://www.youtube.com/results?search_query=Stefania%20(Kalush%20Orchestra)%20KALUSH%20music%20video
24-01,Hold My Hand,Lady Gaga,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Hold%20My%20Hand%20Lady%20Gaga,https://www.youtube.com/results?search_query=Hold%20My%20Hand%20Lady%20Gaga%20music%20video
24-02,The Joker And The Queen,Ed Sheeran,2022,NOW 112 – Disc 2,https://open.spotify.com/search/The%20Joker%20And%20The%20Queen%20Ed%20Sheeran,https://www.youtube.com/results?search_query=The%20Joker%20And%20The%20Queen%20Ed%20Sheeran%20music%20video
24-03,Go,Cat Burns feat. Sam Smith,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Go%20Cat%20Burns%20feat.%20Sam%20Smith,https://www.youtube.com/results?search_query=Go%20Cat%20Burns%20feat.%20Sam%20Smith%20music%20video
24-04,First Class,Jack Harlow,2022,NOW 112 – Disc 2,https://open.spotify.com/search/First%20Class%20Jack%20Harlow,https://www.youtube.com/results?search_query=First%20Class%20Jack%20Harlow%20music%20video
24-05,Cooped Up,Post Malone & Roddy Ricch,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Cooped%20Up%20Post%20Malone%20&%20Roddy%20Ricch,https://www.youtube.com/results?search_query=Cooped%20Up%20Post%20Malone%20&%20Roddy%20Ricch%20music%20video
24-06,Thousand Miles,The Kid Laroi,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Thousand%20Miles%20The%20Kid%20Laroi,https://www.youtube.com/results?search_query=Thousand%20Miles%20The%20Kid%20Laroi%20music%20video
24-07,21 Reasons,Nathan Dawe feat. Ella Henderson,2022,NOW 112 – Disc 2,https://open.spotify.com/search/21%20Reasons%20Nathan%20Dawe%20feat.%20Ella%20Henderson,https://www.youtube.com/results?search_query=21%20Reasons%20Nathan%20Dawe%20feat.%20Ella%20Henderson%20music%20video
24-08,Run,Becky Hill & Galantis,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Run%20Becky%20Hill%20&%20Galantis,https://www.youtube.com/results?search_query=Run%20Becky%20Hill%20&%20Galantis%20music%20video
24-09,Mixed Emotions,Chase & Status,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Mixed%20Emotions%20Chase%20&%20Status,https://www.youtube.com/results?search_query=Mixed%20Emotions%20Chase%20&%20Status%20music%20video
24-10,Night Away (Dance),A1 x J1 & Tion Wayne,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Night%20Away%20(Dance)%20A1%20x%20J1%20&%20Tion%20Wayne,https://www.youtube.com/results?search_query=Night%20Away%20(Dance)%20A1%20x%20J1%20&%20Tion%20Wayne%20music%20video
24-11,Baby,Aitch & Ashanti,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Baby%20Aitch%20&%20Ashanti,https://www.youtube.com/results?search_query=Baby%20Aitch%20&%20Ashanti%20music%20video
24-12,Charmer,N-Dubz,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Charmer%20N-Dubz,https://www.youtube.com/results?search_query=Charmer%20N-Dubz%20music%20video
24-13,Honest,Justin Bieber & Don Toliver,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Honest%20Justin%20Bieber%20&%20Don%20Toliver,https://www.youtube.com/results?search_query=Honest%20Justin%20Bieber%20&%20Don%20Toliver%20music%20video
24-14,Remind Me,Tom Grennan,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Remind%20Me%20Tom%20Grennan,https://www.youtube.com/results?search_query=Remind%20Me%20Tom%20Grennan%20music%20video
24-15,Getting Started,Sam Fender,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Getting%20Started%20Sam%20Fender,https://www.youtube.com/results?search_query=Getting%20Started%20Sam%20Fender%20music%20video
24-16,Something To Someone,Dermot Kennedy,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Something%20To%20Someone%20Dermot%20Kennedy,https://www.youtube.com/results?search_query=Something%20To%20Someone%20Dermot%20Kennedy%20music%20video
24-17,Better Days,Liam Gallagher,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Better%20Days%20Liam%20Gallagher,https://www.youtube.com/results?search_query=Better%20Days%20Liam%20Gallagher%20music%20video
24-18,Questions,"Lost Frequencies, James Arthur",2022,NOW 112 – Disc 2,"https://open.spotify.com/search/Questions%20Lost%20Frequencies,%20James%20Arthur","https://www.youtube.com/results?search_query=Questions%20Lost%20Frequencies,%20James%20Arthur%20music%20video"
24-19,Goodbye,Mimi Webb,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Goodbye%20Mimi%20Webb,https://www.youtube.com/results?search_query=Goodbye%20Mimi%20Webb%20music%20video
24-20,Flowers,Lauren Spencer-Smith,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Flowers%20Lauren%20Spencer-Smith,https://www.youtube.com/results?search_query=Flowers%20Lauren%20Spencer-Smith%20music%20video
24-21,Colors Of You,Baby Queen,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Colors%20Of%20You%20Baby%20Queen,https://www.youtube.com/results?search_query=Colors%20Of%20You%20Baby%20Queen%20music%20video
24-22,All For You,Cian Ducrot,2022,NOW 112 – Disc 2,https://open.spotify.com/search/All%20For%20You%20Cian%20Ducrot,https://www.youtube.com/results?search_query=All%20For%20You%20Cian%20Ducrot%20music%20video
24-23,You Only Want Me,Mark Owen,2022,NOW 112 – Disc 2,https://open.spotify.com/search/You%20Only%20Want%20Me%20Mark%20Owen,https://www.youtube.com/results?search_query=You%20Only%20Want%20Me%20Mark%20Owen%20music%20video
24-24,Gold Forever - For Tom,The Wanted,2022,NOW 112 – Disc 2,https://open.spotify.com/search/Gold%20Forever%20-%20For%20Tom%20The%20Wanted,https://www.youtube.com/results?search_query=Gold%20Forever%20-%20For%20Tom%20The%20Wanted%20music%20video
25-01,Start Me Up,The Rolling Stones,1981,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Start%20Me%20Up%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Start%20Me%20Up%20The%20Rolling%20Stones%20music%20video
25-02,Brown Sugar,The Rolling Stones,1971,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Brown%20Sugar%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Brown%20Sugar%20The%20Rolling%20Stones%20music%20video
25-03,Harlem Shuffle,The Rolling Stones,1986,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Harlem%20Shuffle%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Harlem%20Shuffle%20The%20Rolling%20Stones%20music%20video
25-04,It's Only Rock 'n' Roll,The Rolling Stones,1974,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/It's%20Only%20Rock%20'n'%20Roll%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=It's%20Only%20Rock%20'n'%20Roll%20The%20Rolling%20Stones%20music%20video
25-05,Mixed Emotions,The Rolling Stones,1989,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Mixed%20Emotions%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Mixed%20Emotions%20The%20Rolling%20Stones%20music%20video
25-06,Angie,The Rolling Stones,1973,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Angie%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Angie%20The%20Rolling%20Stones%20music%20video
25-07,Tumbling Dice,The Rolling Stones,1972,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Tumbling%20Dice%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Tumbling%20Dice%20The%20Rolling%20Stones%20music%20video
25-08,Fool To Cry,The Rolling Stones,1976,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Fool%20To%20Cry%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Fool%20To%20Cry%20The%20Rolling%20Stones%20music%20video
25-09,Rock And A Hard Place,The Rolling Stones,1989,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Rock%20And%20A%20Hard%20Place%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Rock%20And%20A%20Hard%20Place%20The%20Rolling%20Stones%20music%20video
25-10,Miss You,The Rolling Stones,1978,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Miss%20You%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Miss%20You%20The%20Rolling%20Stones%20music%20video
25-11,Hot Stuff,The Rolling Stones,1976,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Hot%20Stuff%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Hot%20Stuff%20The%20Rolling%20Stones%20music%20video
25-12,Emotional Rescue,The Rolling Stones,1980,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Emotional%20Rescue%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Emotional%20Rescue%20The%20Rolling%20Stones%20music%20video
25-13,Respectable,The Rolling Stones,1978,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Respectable%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Respectable%20The%20Rolling%20Stones%20music%20video
25-14,Beast Of Burden,The Rolling Stones,1978,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Beast%20Of%20Burden%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Beast%20Of%20Burden%20The%20Rolling%20Stones%20music%20video
25-15,Waiting On A Friend,The Rolling Stones,1981,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Waiting%20On%20A%20Friend%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Waiting%20On%20A%20Friend%20The%20Rolling%20Stones%20music%20video
25-16,Wild Horses,The Rolling Stones,1971,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Wild%20Horses%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Wild%20Horses%20The%20Rolling%20Stones%20music%20video
25-17,Bitch,The Rolling Stones,1971,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Bitch%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Bitch%20The%20Rolling%20Stones%20music%20video
25-18,Undercover Of The Night,The Rolling Stones,1983,The Best of The Rolling Stones – Jump Back,https://open.spotify.com/search/Undercover%20Of%20The%20Night%20The%20Rolling%20Stones,https://www.youtube.com/results?search_query=Undercover%20Of%20The%20Night%20The%20Rolling%20Stones%20music%20video
26-01,Livin' On A Prayer,Bon Jovi,1986,Bon Jovi – Cross Road,https://open.spotify.com/search/Livin'%20On%20A%20Prayer%20Bon%20Jovi,https://www.youtube.com/results?search_query=Livin'%20On%20A%20Prayer%20Bon%20Jovi%20music%20video
26-02,Keep The Faith,Bon Jovi,1992,Bon Jovi – Cross Road,https://open.spotify.com/search/Keep%20The%20Faith%20Bon%20Jovi,https://www.youtube.com/results?search_query=Keep%20The%20Faith%20Bon%20Jovi%20music%20video
26-03,Someday I'll Be Saturday Night,Bon Jovi,1994,Bon Jovi – Cross Road,https://open.spotify.com/search/Someday%20I'll%20Be%20Saturday%20Night%20Bon%20Jovi,https://www.youtube.com/results?search_query=Someday%20I'll%20Be%20Saturday%20Night%20Bon%20Jovi%20music%20video
26-04,Always,Bon Jovi,1994,Bon Jovi – Cross Road,https://open.spotify.com/search/Always%20Bon%20Jovi,https://www.youtube.com/results?search_query=Always%20Bon%20Jovi%20music%20video
26-05,Wanted Dead Or Alive,Bon Jovi,1986,Bon Jovi – Cross Road,https://open.spotify.com/search/Wanted%20Dead%20Or%20Alive%20Bon%20Jovi,https://www.youtube.com/results?search_query=Wanted%20Dead%20Or%20Alive%20Bon%20Jovi%20music%20video
26-06,Lay Your Hands On Me,Bon Jovi,1988,Bon Jovi – Cross Road,https://open.spotify.com/search/Lay%20Your%20Hands%20On%20Me%20Bon%20Jovi,https://www.youtube.com/results?search_query=Lay%20Your%20Hands%20On%20Me%20Bon%20Jovi%20music%20video
26-07,You Give Love A Bad Name,Bon Jovi,1986,Bon Jovi – Cross Road,https://open.spotify.com/search/You%20Give%20Love%20A%20Bad%20Name%20Bon%20Jovi,https://www.youtube.com/results?search_query=You%20Give%20Love%20A%20Bad%20Name%20Bon%20Jovi%20music%20video
26-08,Bed Of Roses,Bon Jovi,1992,Bon Jovi – Cross Road,https://open.spotify.com/search/Bed%20Of%20Roses%20Bon%20Jovi,https://www.youtube.com/results?search_query=Bed%20Of%20Roses%20Bon%20Jovi%20music%20video
26-09,Blaze Of Glory,Bon Jovi,1990,Bon Jovi – Cross Road,https://open.spotify.com/search/Blaze%20Of%20Glory%20Bon%20Jovi,https://www.youtube.com/results?search_query=Blaze%20Of%20Glory%20Bon%20Jovi%20music%20video
26-10,In These Arms,Bon Jovi,1992,Bon Jovi – Cross Road,https://open.spotify.com/search/In%20These%20Arms%20Bon%20Jovi,https://www.youtube.com/results?search_query=In%20These%20Arms%20Bon%20Jovi%20music%20video
26-11,Bad Medicine,Bon Jovi,1988,Bon Jovi – Cross Road,https://open.spotify.com/search/Bad%20Medicine%20Bon%20Jovi,https://www.youtube.com/results?search_query=Bad%20Medicine%20Bon%20Jovi%20music%20video
26-12,I'll Be There For You,Bon Jovi,1988,Bon Jovi – Cross Road,https://open.spotify.com/search/I'll%20Be%20There%20For%20You%20Bon%20Jovi,https://www.youtube.com/results?search_query=I'll%20Be%20There%20For%20You%20Bon%20Jovi%20music%20video
26-13,In & Out Of Love,Bon Jovi,1985,Bon Jovi – Cross Road,https://open.spotify.com/search/In%20&%20Out%20Of%20Love%20Bon%20Jovi,https://www.youtube.com/results?search_query=In%20&%20Out%20Of%20Love%20Bon%20Jovi%20music%20video
26-14,Runaway,Bon Jovi,1984,Bon Jovi – Cross Road,https://open.spotify.com/search/Runaway%20Bon%20Jovi,https://www.youtube.com/results?search_query=Runaway%20Bon%20Jovi%20music%20video
26-15,Never Say Goodbye,Bon Jovi,1986,Bon Jovi – Cross Road,https://open.spotify.com/search/Never%20Say%20Goodbye%20Bon%20Jovi,https://www.youtube.com/results?search_query=Never%20Say%20Goodbye%20Bon%20Jovi%20music%20video
27-01,Heartbreak Hotel,Elvis Presley,1956,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Heartbreak%20Hotel%20Elvis%20Presley,https://www.youtube.com/results?search_query=Heartbreak%20Hotel%20Elvis%20Presley%20music%20video
27-02,Blue Suede Shoes,Elvis Presley,1956,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Blue%20Suede%20Shoes%20Elvis%20Presley,https://www.youtube.com/results?search_query=Blue%20Suede%20Shoes%20Elvis%20Presley%20music%20video
27-03,Hound Dog,Elvis Presley,1956,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Hound%20Dog%20Elvis%20Presley,https://www.youtube.com/results?search_query=Hound%20Dog%20Elvis%20Presley%20music%20video
27-04,Don't Be Cruel,Elvis Presley,1956,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Don't%20Be%20Cruel%20Elvis%20Presley,https://www.youtube.com/results?search_query=Don't%20Be%20Cruel%20Elvis%20Presley%20music%20video
27-05,Love Me Tender,Elvis Presley,1956,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Love%20Me%20Tender%20Elvis%20Presley,https://www.youtube.com/results?search_query=Love%20Me%20Tender%20Elvis%20Presley%20music%20video
27-06,All Shook Up,Elvis Presley,1957,Elvis Presley – The Essential Collection,https://open.spotify.com/search/All%20Shook%20Up%20Elvis%20Presley,https://www.youtube.com/results?search_query=All%20Shook%20Up%20Elvis%20Presley%20music%20video
27-07,(Let Me Be Your) Teddy Bear,Elvis Presley,1957,Elvis Presley – The Essential Collection,https://open.spotify.com/search/(Let%20Me%20Be%20Your)%20Teddy%20Bear%20Elvis%20Presley,https://www.youtube.com/results?search_query=(Let%20Me%20Be%20Your)%20Teddy%20Bear%20Elvis%20Presley%20music%20video
27-08,Jailhouse Rock,Elvis Presley,1957,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Jailhouse%20Rock%20Elvis%20Presley,https://www.youtube.com/results?search_query=Jailhouse%20Rock%20Elvis%20Presley%20music%20video
27-09,King Creole,Elvis Presley,1958,Elvis Presley – The Essential Collection,https://open.spotify.com/search/King%20Creole%20Elvis%20Presley,https://www.youtube.com/results?search_query=King%20Creole%20Elvis%20Presley%20music%20video
27-10,The Girl Of My Best Friend,Elvis Presley,1960,Elvis Presley – The Essential Collection,https://open.spotify.com/search/The%20Girl%20Of%20My%20Best%20Friend%20Elvis%20Presley,https://www.youtube.com/results?search_query=The%20Girl%20Of%20My%20Best%20Friend%20Elvis%20Presley%20music%20video
27-11,It's Now Or Never (O Sole Mio),Elvis Presley,1960,Elvis Presley – The Essential Collection,https://open.spotify.com/search/It's%20Now%20Or%20Never%20(O%20Sole%20Mio)%20Elvis%20Presley,https://www.youtube.com/results?search_query=It's%20Now%20Or%20Never%20(O%20Sole%20Mio)%20Elvis%20Presley%20music%20video
27-12,Are You Lonesome Tonight?,Elvis Presley,1960,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Are%20You%20Lonesome%20Tonight?%20Elvis%20Presley,https://www.youtube.com/results?search_query=Are%20You%20Lonesome%20Tonight?%20Elvis%20Presley%20music%20video
27-13,Wooden Heart,Elvis Presley,1961,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Wooden%20Heart%20Elvis%20Presley,https://www.youtube.com/results?search_query=Wooden%20Heart%20Elvis%20Presley%20music%20video
27-14,(Marie's The Name) His Latest Flame,Elvis Presley,1961,Elvis Presley – The Essential Collection,https://open.spotify.com/search/(Marie's%20The%20Name)%20His%20Latest%20Flame%20Elvis%20Presley,https://www.youtube.com/results?search_query=(Marie's%20The%20Name)%20His%20Latest%20Flame%20Elvis%20Presley%20music%20video
27-15,Can't Help Falling In Love,Elvis Presley,1961,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Can't%20Help%20Falling%20In%20Love%20Elvis%20Presley,https://www.youtube.com/results?search_query=Can't%20Help%20Falling%20In%20Love%20Elvis%20Presley%20music%20video
27-16,Good Luck Charm,Elvis Presley,1962,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Good%20Luck%20Charm%20Elvis%20Presley,https://www.youtube.com/results?search_query=Good%20Luck%20Charm%20Elvis%20Presley%20music%20video
27-17,She's Not You,Elvis Presley,1962,Elvis Presley – The Essential Collection,https://open.spotify.com/search/She's%20Not%20You%20Elvis%20Presley,https://www.youtube.com/results?search_query=She's%20Not%20You%20Elvis%20Presley%20music%20video
27-18,Return To Sender,Elvis Presley,1962,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Return%20To%20Sender%20Elvis%20Presley,https://www.youtube.com/results?search_query=Return%20To%20Sender%20Elvis%20Presley%20music%20video
27-19,(You're The) Devil In Disguise,Elvis Presley,1963,Elvis Presley – The Essential Collection,https://open.spotify.com/search/(You're%20The)%20Devil%20In%20Disguise%20Elvis%20Presley,https://www.youtube.com/results?search_query=(You're%20The)%20Devil%20In%20Disguise%20Elvis%20Presley%20music%20video
27-20,Crying In The Chapel,Elvis Presley,1965,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Crying%20In%20The%20Chapel%20Elvis%20Presley,https://www.youtube.com/results?search_query=Crying%20In%20The%20Chapel%20Elvis%20Presley%20music%20video
27-21,In The Ghetto,Elvis Presley,1969,Elvis Presley – The Essential Collection,https://open.spotify.com/search/In%20The%20Ghetto%20Elvis%20Presley,https://www.youtube.com/results?search_query=In%20The%20Ghetto%20Elvis%20Presley%20music%20video
27-22,Suspicious Minds,Elvis Presley,1969,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Suspicious%20Minds%20Elvis%20Presley,https://www.youtube.com/results?search_query=Suspicious%20Minds%20Elvis%20Presley%20music%20video
27-23,The Wonder Of You,Elvis Presley,1970,Elvis Presley – The Essential Collection,https://open.spotify.com/search/The%20Wonder%20Of%20You%20Elvis%20Presley,https://www.youtube.com/results?search_query=The%20Wonder%20Of%20You%20Elvis%20Presley%20music%20video
27-24,I Just Can't Help Believin',Elvis Presley,1970,Elvis Presley – The Essential Collection,https://open.spotify.com/search/I%20Just%20Can't%20Help%20Believin'%20Elvis%20Presley,https://www.youtube.com/results?search_query=I%20Just%20Can't%20Help%20Believin'%20Elvis%20Presley%20music%20video
27-25,An American Trilogy,Elvis Presley,1972,Elvis Presley – The Essential Collection,https://open.spotify.com/search/An%20American%20Trilogy%20Elvis%20Presley,https://www.youtube.com/results?search_query=An%20American%20Trilogy%20Elvis%20Presley%20music%20video
27-26,Burning Love,Elvis Presley,1972,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Burning%20Love%20Elvis%20Presley,https://www.youtube.com/results?search_query=Burning%20Love%20Elvis%20Presley%20music%20video
27-27,Always On My Mind,Elvis Presley,1972,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Always%20On%20My%20Mind%20Elvis%20Presley,https://www.youtube.com/results?search_query=Always%20On%20My%20Mind%20Elvis%20Presley%20music%20video
27-28,Moody Blue,Elvis Presley,1977,Elvis Presley – The Essential Collection,https://open.spotify.com/search/Moody%20Blue%20Elvis%20Presley,https://www.youtube.com/results?search_query=Moody%20Blue%20Elvis%20Presley%20music%20video
28-01,Sam's Town,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Sam's%20Town%20The%20Killers,https://www.youtube.com/results?search_query=Sam's%20Town%20The%20Killers%20music%20video
28-02,Enterlude,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Enterlude%20The%20Killers,https://www.youtube.com/results?search_query=Enterlude%20The%20Killers%20music%20video
28-03,When You Were Young,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/When%20You%20Were%20Young%20The%20Killers,https://www.youtube.com/results?search_query=When%20You%20Were%20Young%20The%20Killers%20music%20video
28-04,Bling (Confession Of A King),The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Bling%20(Confession%20Of%20A%20King)%20The%20Killers,https://www.youtube.com/results?search_query=Bling%20(Confession%20Of%20A%20King)%20The%20Killers%20music%20video
28-05,For Reasons Unknown,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/For%20Reasons%20Unknown%20The%20Killers,https://www.youtube.com/results?search_query=For%20Reasons%20Unknown%20The%20Killers%20music%20video
28-06,Read My Mind,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Read%20My%20Mind%20The%20Killers,https://www.youtube.com/results?search_query=Read%20My%20Mind%20The%20Killers%20music%20video
28-07,Uncle Jonny,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Uncle%20Jonny%20The%20Killers,https://www.youtube.com/results?search_query=Uncle%20Jonny%20The%20Killers%20music%20video
28-08,Bones,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Bones%20The%20Killers,https://www.youtube.com/results?search_query=Bones%20The%20Killers%20music%20video
28-09,My List,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/My%20List%20The%20Killers,https://www.youtube.com/results?search_query=My%20List%20The%20Killers%20music%20video
28-10,This River Is Wild,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/This%20River%20Is%20Wild%20The%20Killers,https://www.youtube.com/results?search_query=This%20River%20Is%20Wild%20The%20Killers%20music%20video
28-11,Why Do I Keep Counting?,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Why%20Do%20I%20Keep%20Counting?%20The%20Killers,https://www.youtube.com/results?search_query=Why%20Do%20I%20Keep%20Counting?%20The%20Killers%20music%20video
28-12,Exitlude,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Exitlude%20The%20Killers,https://www.youtube.com/results?search_query=Exitlude%20The%20Killers%20music%20video
28-13,Where The White Boys Dance,The Killers,2006,The Killers – Sam’s Town,https://open.spotify.com/search/Where%20The%20White%20Boys%20Dance%20The%20Killers,https://www.youtube.com/results?search_query=Where%20The%20White%20Boys%20Dance%20The%20Killers%20music%20video
29-01,Viva La Vida,Coldplay,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Viva%20La%20Vida%20Coldplay,https://www.youtube.com/results?search_query=Viva%20La%20Vida%20Coldplay%20music%20video
29-02,The Man Who Can't Be Moved,The Script,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/The%20Man%20Who%20Can't%20Be%20Moved%20The%20Script,https://www.youtube.com/results?search_query=The%20Man%20Who%20Can't%20Be%20Moved%20The%20Script%20music%20video
29-03,Wire To Wire,Razorlight,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Wire%20To%20Wire%20Razorlight,https://www.youtube.com/results?search_query=Wire%20To%20Wire%20Razorlight%20music%20video
29-04,5 Years Time,Noah And The Whale,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/5%20Years%20Time%20Noah%20And%20The%20Whale,https://www.youtube.com/results?search_query=5%20Years%20Time%20Noah%20And%20The%20Whale%20music%20video
29-05,In This City,Iglu & Hartly,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/In%20This%20City%20Iglu%20&%20Hartly,https://www.youtube.com/results?search_query=In%20This%20City%20Iglu%20&%20Hartly%20music%20video
29-06,Shut Up And Let Me Go,The Ting Tings,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Shut%20Up%20And%20Let%20Me%20Go%20The%20Ting%20Tings,https://www.youtube.com/results?search_query=Shut%20Up%20And%20Let%20Me%20Go%20The%20Ting%20Tings%20music%20video
29-07,Never Miss A Beat,Kaiser Chiefs,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Never%20Miss%20A%20Beat%20Kaiser%20Chiefs,https://www.youtube.com/results?search_query=Never%20Miss%20A%20Beat%20Kaiser%20Chiefs%20music%20video
29-08,Take Back The City,Snow Patrol,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Take%20Back%20The%20City%20Snow%20Patrol,https://www.youtube.com/results?search_query=Take%20Back%20The%20City%20Snow%20Patrol%20music%20video
29-09,Love Is Noise,The Verve,2008,Now That’s What I Call Music! 71 – Disc 1,https://open.spotify.com/search/Love%20Is%20Noise%20The%20Verve,https://www.youtube.com/results?search_query=Love%20Is%20Noise%20The%20Verve%20music%20video
