No.,Track Name,Artist,Year Released,Album:,Spotify Link:,Youtube Link:
10-06,Ace Of Spades,Motörhead,1980,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Ace%20Of%20Spades%20Motörhead,https://www.youtube.com/results?search_query=Ace%20Of%20Spades%20Motörhead%20music%20video
10-07,Paranoid,Black Sabbath,1970,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Paranoid%20Black%20Sabbath,https://www.youtube.com/results?search_query=Paranoid%20Black%20Sabbath%20music%20video
10-08,Smoke On The Water,Deep Purple,1972,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Smoke%20On%20The%20Water%20Deep%20Purple,https://www.youtube.com/results?search_query=Smoke%20On%20The%20Water%20Deep%20Purple%20music%20video
10-09,Can't Get Enough,Bad Company,1974,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Can't%20Get%20Enough%20Bad%20Company,https://www.youtube.com/results?search_query=Can't%20Get%20Enough%20Bad%20Company%20music%20video
10-10,In A Broken Dream,Michael Jackson,1972,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/In%20A%20Broken%20Dream%20Michael%20Jackson,https://www.youtube.com/results?search_query=In%20A%20Broken%20Dream%20Michael%20Jackson%20music%20video
10-11,In The Air Tonight,Phil Collins,1981,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/In%20The%20Air%20Tonight%20Phil%20Collins,https://www.youtube.com/results?search_query=In%20The%20Air%20Tonight%20Phil%20Collins%20music%20video
10-12,Sunshine Of Your Love,Cream,1967,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Sunshine%20Of%20Your%20Love%20Cream,https://www.youtube.com/results?search_query=Sunshine%20Of%20Your%20Love%20Cream%20music%20video
10-13,Mannish Boy,Muddy Waters,1955,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Mannish%20Boy%20Muddy%20Waters,https://www.youtube.com/results?search_query=Mannish%20Boy%20Muddy%20Waters%20music%20video
10-14,All Right Now,Free,1970,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/All%20Right%20Now%20Free,https://www.youtube.com/results?search_query=All%20Right%20Now%20Free%20music%20video
10-15,Living In The Past,Jethro Tull,1969,The Best Rock Album in the World…Ever! – Disc 2,https://open.spotify.com/search/Living%20In%20The%20Past%20Jethro%20Tull,https://www.youtube.com/results?search_query=Living%20In%20The%20Past%20Jethro%20Tull%20music%20video
